timestamp,s7_b2,s9_b1,s9_b2,s7_b3,s7_b4,s7_b1,s10_b1,s10_b2,s8_b2,s8_b3,s8_b1,hv_bk_1
07/19/13 03:45,4070758.095659,2548652.837454,1022394.1979440001,3556796.3985710004,3057759.2211579997,7663535.272996999,4092260.134594,2037804.768922,4592209.504323,2553482.228385,1021392.946239,
07/19/13 03:46,4162383.514357,2606187.3765399996,1045474.421369,3636853.501638,3126583.913904,7836027.302652,4184514.2143630004,2083744.398734,4695704.055601,2611030.003099,1044412.102706,
07/19/13 03:46,4162383.514357,2606187.3765399996,1045474.421369,3636853.501638,3126583.913904,7836027.302652,4184514.2143630004,2083744.398734,4695704.055601,2611030.003099,1044412.102706,
07/19/13 03:47,4198386.154919,2629052.339993,1054645.920595,3668309.884416,3153627.1061500004,7903803.596867,4220840.654697999,2101844.499815,4736321.545661001,2633613.32606,1053445.710783,
07/19/13 03:47,4198386.154919,2629052.339993,1054645.920595,3668309.884416,3153627.1061500004,7903803.596867,4220840.654697999,2101844.499815,4736321.545661001,2633613.32606,1053445.710783,
07/19/13 03:48,4147406.6515500005,2597359.233815,1041930.89327,3623765.943748,3115333.305989,7807828.657783,4169778.303362,2076425.844641,4678705.981704,2601575.2553789997,1040630.559431,
07/19/13 03:48,4147406.6515500005,2597359.233815,1041930.89327,3623765.943748,3115333.305989,7807828.657783,4169778.303362,2076425.844641,4678705.981704,2601575.2553789997,1040630.559431,
07/19/13 03:49,4155042.24879,2601694.001948,1043671.553417,3630438.8606670005,3121069.390775,7822206.231626,4177088.749901,2080053.337325,4687370.691966999,2606394.8676279997,1042558.274761,
07/19/13 03:49,4155042.24879,2601694.001948,1043671.553417,3630438.8606670005,3121069.390775,7822206.231626,4177088.749901,2080053.337325,4687370.691966999,2606394.8676279997,1042558.274761,
07/19/13 03:50,4151918.347172,2599612.9020599998,1042837.042681,3627709.630981,3118722.973802,7816325.806209,4173972.640133,2078495.02581,4683884.224072,2604457.69062,1041783.1472759999,
07/19/13 03:50,4151918.347172,2599612.9020599998,1042837.042681,3627709.630981,3118722.973802,7816325.806209,4173972.640133,2078495.02581,4683884.224072,2604457.69062,1041783.1472759999,
07/19/13 03:51,4124700.9216089994,2582522.51373,1035981.160573,3603928.5854579997,3098278.527347,7765086.87111,4146569.368458,2064849.057602,4653140.176176,2587362.551652,1034945.0862070001,
07/19/13 03:51,4124700.9216089994,2582522.51373,1035981.160573,3603928.5854579997,3098278.527347,7765086.87111,4146569.368458,2064849.057602,4653140.176176,2587362.551652,1034945.0862070001,
07/19/13 03:52,4187905.143696,2622407.616567,1051980.604733,3659152.3603020003,3145754.346113,7884072.686756,4210237.18145,2096562.494705,4724486.881261,2627032.924855,1050813.529185,
07/19/13 03:52,4187905.143696,2622407.616567,1051980.604733,3659152.3603020003,3145754.346113,7884072.686756,4210237.18145,2096562.494705,4724486.881261,2627032.924855,1050813.529185,
07/19/13 03:53,4194895.809067,2627283.6338870004,1053934.850277,3665259.011698,3151004.8065170003,7897230.126565,4217684.390579,2100284.169656,4732338.228992,2631396.976771,1052559.2864819998,
07/19/13 03:53,4194895.809067,2627283.6338870004,1053934.850277,3665259.011698,3151004.8065170003,7897230.126565,4217684.390579,2100284.169656,4732338.228992,2631396.976771,1052559.2864819998,
07/19/13 03:54,4197705.059669,2629528.00212,1054833.615969,3667712.348763,3153114.4578989996,7902516.091907,4220950.563237,2101922.21818,4735450.803117,2633126.250381,1053251.115126,
07/19/13 03:54,4197705.059669,2629528.00212,1054833.615969,3667712.348763,3153114.4578989996,7902516.091907,4220950.563237,2101922.21818,4735450.803117,2633126.250381,1053251.115126,
07/19/13 03:55,4220305.836418,2643623.787891,1060488.518979,3687459.87534,3170091.201735,7945064.358343,4243617.221034,2113207.1930690003,4760994.858801,2647330.237415,1058932.692111,
07/19/13 03:55,4220305.836418,2643623.787891,1060488.518979,3687459.87534,3170091.201735,7945064.358343,4243617.221034,2113207.1930690003,4760994.858801,2647330.237415,1058932.692111,
07/19/13 03:56,4250767.530807,2661688.589247,1067738.97578,3714078.452418,3192973.8203499997,8002417.124702999,4273502.428026,2128057.741828,4795546.254641,2666547.041938,1066618.908294,
07/19/13 03:56,4250767.530807,2661688.589247,1067738.97578,3714078.452418,3192973.8203499997,8002417.124702999,4273502.428026,2128057.741828,4795546.254641,2666547.041938,1066618.908294,
07/19/13 03:57,4161684.150421,2605745.2396750003,1045297.0562379999,3636242.436997,3126058.584678,7834710.695307,4183805.298784,2083391.3811070002,4694915.544207,2610591.62435,1044236.722753,
07/19/13 03:57,4161684.150421,2605745.2396750003,1045297.0562379999,3636242.436997,3126058.584678,7834710.695307,4183805.298784,2083391.3811070002,4694915.544207,2610591.62435,1044236.722753,
07/19/13 03:58,4209044.016063,2635485.715078,1057227.577061,3677622.806709,3161633.082779,7923869.347388,4231490.569355,2107137.150713,4748413.629131,2640339.080544,1056135.7149760001,
07/19/13 03:58,4209044.016063,2635485.715078,1057227.577061,3677622.806709,3161633.082779,7923869.347388,4231490.569355,2107137.150713,4748413.629131,2640339.080544,1056135.7149760001,
07/19/13 03:59,4238558.497783,2654020.985675,1064663.0825450001,3703410.8903360004,3183802.9701850004,7979432.666177999,4261208.853836,2121935.926271,4781754.282651,2658878.055366,1063551.3110850002,
